iter	Passed	Remaining
0	157	156979
1	160	80130
2	164	54646
3	173	43123
4	177	35307
5	185	30776
6	190	27004
7	194	24176
8	206	22752
9	210	20876
10	217	19573
11	221	18271
12	225	17083
13	235	16596
14	240	15768
15	245	15083
16	247	14337
17	252	13775
18	254	13129
19	255	12543
20	266	12402
21	276	12308
22	279	11858
23	282	11469
24	284	11099
25	287	10756
26	293	10570
27	296	10285
28	298	10005
29	301	9741
30	310	9705
31	312	9462
32	315	9255
33	324	9232
34	329	9087
35	332	8890
36	339	8824
37	343	8683
38	345	8521
39	349	8380
40	353	8265
41	355	8111
42	357	7958
43	362	7879
44	365	7748
45	367	7621
46	369	7488
47	370	7357
48	372	7231
49	378	7188
50	381	7101
51	385	7025
52	387	6927
53	396	6948
54	398	6850
55	401	6771
56	404	6684
57	410	6663
58	412	6582
59	415	6505
60	417	6422
61	419	6339
62	425	6330
63	428	6259
64	431	6213
65	434	6145
66	441	6146
67	443	6077
68	445	6005
69	446	5935
70	455	5955
71	461	5945
72	492	6254
73	495	6195
74	511	6304
75	526	6401
76	542	6497
77	544	6438
78	554	6462
79	575	6623
80	676	7670
81	679	7609
82	680	7522
83	683	7457
84	690	7437
85	693	7375
86	699	7340
87	704	7300
88	707	7237
89	710	7187
90	714	7132
91	774	7642
92	839	8187
93	841	8113
94	843	8038
95	846	7973
96	848	7902
97	853	7851
98	855	7781
99	857	7719
100	861	7663
101	863	7600
102	870	7584
103	904	7792
104	907	7738
105	910	7680
106	912	7618
107	923	7624
108	928	7590
109	934	7563
110	937	7507
111	940	7455
112	943	7408
113	949	7383
114	952	7327
115	1007	7679
116	1009	7617
117	1015	7593
118	1018	7542
119	1031	7564
120	1033	7509
121	1035	7451
122	1037	7397
123	1042	7363
124	1044	7311
125	1067	7404
126	1069	7350
127	1075	7327
128	1077	7277
129	1083	7247
130	1089	7227
131	1091	7179
132	1094	7131
133	1096	7086
134	1099	7043
135	1102	7005
136	1109	6989
137	1145	7156
138	1149	7121
139	1152	7076
140	1155	7036
141	1156	6988
142	1159	6948
143	1162	6909
144	1164	6867
145	1167	6826
146	1170	6791
147	1181	6802
148	1249	7136
149	1254	7107
150	1264	7109
151	1267	7068
152	1270	7035
153	1276	7014
154	1279	6974
155	1283	6946
156	1293	6947
157	1295	6906
158	1298	6867
159	1312	6888
160	1315	6855
161	1318	6818
162	1326	6810
163	1331	6789
164	1334	6753
165	1347	6768
166	1350	6735
167	1359	6730
168	1361	6695
169	1363	6659
170	1369	6640
171	1372	6605
172	1374	6569
173	1378	6544
174	1381	6510
175	1388	6499
176	1447	6732
177	1455	6722
178	1459	6692
179	1461	6659
180	1465	6629
181	1467	6593
182	1468	6557
183	1471	6525
184	1473	6493
185	1475	6458
186	1482	6445
187	1485	6414
188	1491	6401
189	1494	6370
190	1497	6344
191	1500	6316
192	1507	6303
193	1510	6275
194	1514	6253
195	1517	6223
196	1522	6204
197	1526	6181
198	1529	6155
199	1541	6167
200	1554	6180
201	1558	6155
202	1560	6127
203	1564	6104
204	1572	6097
205	1577	6078
206	1580	6054
207	1585	6037
208	1587	6009
209	1591	5987
210	1602	5991
211	1608	5978
212	1616	5972
213	1620	5952
214	1623	5926
215	1625	5898
216	1627	5872
217	1633	5858
218	1637	5840
219	1642	5821
220	1646	5804
221	1649	5780
222	1651	5753
223	1653	5727
224	1655	5701
225	1658	5678
226	1662	5660
227	1665	5638
228	1668	5616
229	1670	5592
230	1673	5569
231	1675	5546
232	1678	5526
233	1681	5503
234	1683	5480
235	1687	5462
236	1694	5454
237	1696	5432
238	1700	5415
239	1703	5394
240	1707	5377
241	1710	5356
242	1711	5333
243	1713	5310
244	1716	5288
245	1718	5266
246	1725	5259
247	1729	5243
248	1731	5223
249	1733	5201
250	1740	5192
251	1742	5171
252	1744	5150
253	1746	5130
254	1748	5109
255	1753	5096
256	1756	5079
257	1759	5060
258	1761	5040
259	1764	5020
260	1767	5004
261	1769	4984
262	1771	4964
263	1775	4951
264	1778	4932
265	1780	4912
266	1785	4901
267	1787	4882
268	1789	4863
269	1791	4844
270	1793	4825
271	1797	4812
272	1800	4794
273	1802	4775
274	1804	4757
275	1806	4738
276	1808	4720
277	1813	4709
278	1816	4693
279	1818	4676
280	1821	4659
281	1823	4642
282	1825	4623
283	1829	4611
284	1830	4592
285	1832	4573
286	1833	4555
287	1835	4538
288	1837	4521
289	1839	4503
290	1844	4493
291	1847	4478
292	1849	4461
293	1852	4447
294	1854	4430
295	1859	4422
296	1861	4406
297	1867	4399
298	1875	4396
299	1877	4380
300	1879	4365
301	1882	4350
302	1884	4335
303	1889	4326
304	1892	4312
305	1894	4296
306	1895	4279
307	1897	4263
308	1901	4252
309	1905	4241
310	1907	4225
311	1909	4210
312	1912	4196
313	1916	4187
314	1919	4174
315	1926	4169
316	1932	4164
317	1937	4154
318	1939	4140
319	1943	4129
320	1946	4117
321	1950	4106
322	1952	4093
323	1954	4078
324	1958	4068
325	1965	4064
326	1968	4051
327	1971	4039
328	1974	4027
329	1981	4022
330	1983	4009
331	1985	3994
